This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 67, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: EA/MN-232
No: 228, Id: 139, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-235
No: 229, Id: 181, Duration: 1, Teachers: Savannah Guzman, Subject: AM1 (FAF), Activity tags: Lectures, Students: FAF-231
No: 230, Id: 182, Duration: 1, Teachers: Savannah Guzman, Subject: AM1 (FAF), Activity tags: Lectures, Students: FAF-232
No: 231, Id: 183, Duration: 1, Teachers: Savannah Guzman, Subject: AM1 (FAF), Activity tags: Lectures, Students: FAF-233
No: 232, Id: 193, Duration: 1, Teachers: Lucille Archer, Subject: L. Engleza (FAF), Activity tags: Lectures, Students: FAF-231
No: 233, Id: 194, Duration: 1, Teachers: Lucille Archer, Subject: L. Engleza (FAF), Activity tags: Lectures, Students: FAF-232
No: 234, Id: 195, Duration: 1, Teachers: Lucille Archer, Subject: L. Engleza (FAF), Activity tags: Lectures, Students: FAF-233
No: 235, Id: 335, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: IBM-232
No: 236, Id: 340, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: SI-233
No: 237, Id: 341, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: SI-234
No: 238, Id: 347, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-236
No: 239, Id: 348, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-237
No: 240, Id: 352, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: FI-231
No: 241, Id: 361, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: IBM-232
No: 242, Id: 366, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: SI-233
No: 243, Id: 367, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: SI-234
No: 244, Id: 373, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-236
No: 245, Id: 374, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-237
No: 246, Id: 378, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: FI-231
No: 247, Id: 44, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IA-234
No: 248, Id: 45, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IA-235
No: 249, Id: 47, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: SD-232
No: 250, Id: 147, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: AI-232
No: 251, Id: 150, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: CR-233
No: 252, Id: 153, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: IBM-231
No: 253, Id: 155, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: MN-231
No: 254, Id: 156, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: RM-231
No: 255, Id: 157, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: SI-231
No: 256, Id: 158, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: SI-232
No: 257, Id: 161, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-231
No: 258, Id: 162, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-232
No: 259, Id: 163, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-233
No: 260, Id: 164, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-234
No: 261, Id: 165, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-235
No: 262, Id: 178, Duration: 1, Teachers: Ayden Gutierrez, Subject: MD (FAF), Activity tags: Lectures, Students: FAF-231
No: 263, Id: 179, Duration: 1, Teachers: Ayden Gutierrez, Subject: MD (FAF), Activity tags: Lectures, Students: FAF-232
No: 264, Id: 180, Duration: 1, Teachers: Ayden Gutierrez, Subject: MD (FAF), Activity tags: Lectures, Students: FAF-233
No: 265, Id: 218, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IA-234
No: 266, Id: 219, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IA-235
No: 267, Id: 221, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: SD-232
No: 268, Id: 251, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IA-234
No: 269, Id: 252, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IA-235
No: 270, Id: 254, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: SD-232
No: 271, Id: 120, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: AI-231
No: 272, Id: 122, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: CR-231
No: 273, Id: 123, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: CR-232
No: 274, Id: 125, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: EA-231
No: 275, Id: 328, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: AI-232
No: 276, Id: 331, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: CR-233
No: 277, Id: 334, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: IBM-231
No: 278, Id: 336, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: MN-231
No: 279, Id: 337, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: RM-231
No: 280, Id: 338, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: SI-231
No: 281, Id: 339, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: SI-232
No: 282, Id: 342, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-231
No: 283, Id: 343, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-232
No: 284, Id: 344, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-233
No: 285, Id: 345, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-234
No: 286, Id: 346, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-235
No: 287, Id: 354, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: AI-232
No: 288, Id: 357, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: CR-233
No: 289, Id: 360, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: IBM-231
No: 290, Id: 362, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: MN-231
No: 291, Id: 363, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: RM-231
No: 292, Id: 364, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: SI-231
No: 293, Id: 365, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: SI-232
No: 294, Id: 368, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-231
No: 295, Id: 369, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-232
No: 296, Id: 370, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-233
No: 297, Id: 371, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-234
No: 298, Id: 372, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-235
No: 299, Id: 41, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IA-231
No: 300, Id: 42, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IA-232
No: 301, Id: 43, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IA-233
No: 302, Id: 46, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: SD-231
No: 303, Id: 146, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: AI-231
No: 304, Id: 148, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: CR-231
No: 305, Id: 149, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: CR-232
No: 306, Id: 151, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: EA-231
No: 307, Id: 184, Duration: 1, Teachers: Jude Church, Subject: EIA (FAF), Activity tags: Lectures, Students: FAF-231
No: 308, Id: 185, Duration: 1, Teachers: Jude Church, Subject: EIA (FAF), Activity tags: Lectures, Students: FAF-232
No: 309, Id: 186, Duration: 1, Teachers: Jude Church, Subject: EIA (FAF), Activity tags: Lectures, Students: FAF-233
No: 310, Id: 215, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IA-231
No: 311, Id: 216, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IA-232
No: 312, Id: 217, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IA-233
No: 313, Id: 220, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: SD-231
No: 314, Id: 248, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IA-231
No: 315, Id: 249, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IA-232
No: 316, Id: 250, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IA-233
No: 317, Id: 253, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: SD-231
No: 318, Id: 274, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: EA/MN-232
No: 319, Id: 290, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-238
No: 320, Id: 291, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-239
No: 321, Id: 292, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-2310
No: 322, Id: 294, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: EA/MN-232
No: 323, Id: 310, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-238
No: 324, Id: 311, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-239
No: 325, Id: 312, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-2310
No: 326, Id: 327, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: AI-231
No: 327, Id: 329, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: CR-231
No: 328, Id: 330, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: CR-232
No: 329, Id: 332, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: EA-231
No: 330, Id: 353, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: AI-231
No: 331, Id: 355, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: CR-231
No: 332, Id: 356, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: CR-232
No: 333, Id: 358, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: EA-231
No: 334, Id: 276, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: IBM-232
No: 335, Id: 281, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: SI-233
No: 336, Id: 282, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: SI-234
No: 337, Id: 288, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-236
No: 338, Id: 289, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-237
No: 339, Id: 293, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: FI-231
No: 340, Id: 296, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: IBM-232
No: 341, Id: 301, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: SI-233
No: 342, Id: 302, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: SI-234
No: 343, Id: 308, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-236
No: 344, Id: 309, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-237
No: 345, Id: 313, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: FI-231
No: 346, Id: 275, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: IBM-231
No: 347, Id: 277, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: MN-231
No: 348, Id: 278, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: RM-231
No: 349, Id: 279, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: SI-231
No: 350, Id: 280, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: SI-232
No: 351, Id: 283, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-231
No: 352, Id: 284, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-232
No: 353, Id: 285, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-233
No: 354, Id: 286, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-234
No: 355, Id: 287, Duration: 1, Teachers: Hakeem Davenport, Subject: PC, Activity tags: Lab, Students: TI-235
No: 356, Id: 295, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: IBM-231
No: 357, Id: 297, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: MN-231
No: 358, Id: 298, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: RM-231
No: 359, Id: 299, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: SI-231
No: 360, Id: 300, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: SI-232
No: 361, Id: 303, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-231
No: 362, Id: 304, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-232
No: 363, Id: 305, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-233
No: 364, Id: 306, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-234
No: 365, Id: 307, Duration: 1, Teachers: Adrianna Zimmerman, Subject: PSA, Activity tags: Lab, Students: TI-235
No: 366, Id: 320, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: EA/MN-232
No: 367, Id: 323, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: TI-238
No: 368, Id: 324, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: TI-239
No: 369, Id: 325, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: TI-2310
No: 370, Id: 405, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: EA/MN-232
No: 371, Id: 412, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: TI-238
No: 372, Id: 413, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: TI-239
No: 373, Id: 414, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: TI-2310
No: 374, Id: 321, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: TI-236
No: 375, Id: 322, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: TI-237
No: 376, Id: 326, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: FI-231
No: 377, Id: 409, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: IBM-232
No: 378, Id: 410, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: SI-233
No: 379, Id: 411, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: SI-234
No: 380, Id: 315, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: AI-232
No: 381, Id: 318, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: CR-233
No: 382, Id: 403, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: AI-232
No: 383, Id: 404, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: CR-233
No: 384, Id: 314, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: AI-231
No: 385, Id: 316, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: CR-231
No: 386, Id: 317, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: CR-232
No: 387, Id: 319, Duration: 1, Teachers: Sergio Summers, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lab, Students: EA-231
No: 388, Id: 379, Duration: 1, Teachers: Meredith Bush, Subject: ALGA (FAF), Activity tags: Lab, Students: FAF-231
No: 389, Id: 380, Duration: 1, Teachers: Meredith Bush, Subject: ALGA (FAF), Activity tags: Lab, Students: FAF-232
No: 390, Id: 381, Duration: 1, Teachers: Meredith Bush, Subject: ALGA (FAF), Activity tags: Lab, Students: FAF-233
No: 391, Id: 382, Duration: 1, Teachers: Tyson Horn, Subject: PCAIT (FAF), Activity tags: Lab, Students: FAF-231
No: 392, Id: 383, Duration: 1, Teachers: Tyson Horn, Subject: PCAIT (FAF), Activity tags: Lab, Students: FAF-232
No: 393, Id: 384, Duration: 1, Teachers: Tyson Horn, Subject: PCAIT (FAF), Activity tags: Lab, Students: FAF-233
No: 394, Id: 385, Duration: 1, Teachers: Avah Rodriguez, Subject: MD (FAF), Activity tags: Lab, Students: FAF-231
No: 395, Id: 386, Duration: 1, Teachers: Avah Rodriguez, Subject: MD (FAF), Activity tags: Lab, Students: FAF-232
No: 396, Id: 387, Duration: 1, Teachers: Avah Rodriguez, Subject: MD (FAF), Activity tags: Lab, Students: FAF-233
No: 397, Id: 388, Duration: 1, Teachers: Henry Silva, Subject: AM1 (FAF), Activity tags: Lab, Students: FAF-231
No: 398, Id: 389, Duration: 1, Teachers: Henry Silva, Subject: AM1 (FAF), Activity tags: Lab, Students: FAF-232
No: 399, Id: 390, Duration: 1, Teachers: Henry Silva, Subject: AM1 (FAF), Activity tags: Lab, Students: FAF-233
No: 400, Id: 391, Duration: 1, Teachers: Lucia Medrano, Subject: EIA (FAF), Activity tags: Lab, Students: FAF-231
No: 401, Id: 392, Duration: 1, Teachers: Lucia Medrano, Subject: EIA (FAF), Activity tags: Lab, Students: FAF-232
No: 402, Id: 393, Duration: 1, Teachers: Lucia Medrano, Subject: EIA (FAF), Activity tags: Lab, Students: FAF-233
No: 403, Id: 394, Duration: 1, Teachers: Arian Delarosa, Subject: PSA (FAF), Activity tags: Lab, Students: FAF-231
No: 404, Id: 395, Duration: 1, Teachers: Arian Delarosa, Subject: PSA (FAF), Activity tags: Lab, Students: FAF-232
No: 405, Id: 396, Duration: 1, Teachers: Arian Delarosa, Subject: PSA (FAF), Activity tags: Lab, Students: FAF-233
No: 406, Id: 397, Duration: 1, Teachers: Iyla Mayo, Subject: PC (FAF), Activity tags: Lab, Students: FAF-231
No: 407, Id: 398, Duration: 1, Teachers: Iyla Mayo, Subject: PC (FAF), Activity tags: Lab, Students: FAF-232
No: 408, Id: 399, Duration: 1, Teachers: Iyla Mayo, Subject: PC (FAF), Activity tags: Lab, Students: FAF-233
No: 409, Id: 400, Duration: 1, Teachers: Jericho Freeman, Subject: L. Engleza (FAF), Activity tags: Lab, Students: FAF-231
No: 410, Id: 401, Duration: 1, Teachers: Jericho Freeman, Subject: L. Engleza (FAF), Activity tags: Lab, Students: FAF-232
No: 411, Id: 402, Duration: 1, Teachers: Jericho Freeman, Subject: L. Engleza (FAF), Activity tags: Lab, Students: FAF-233
No: 412, Id: 406, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: IA-234
No: 413, Id: 407, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: IA-235
No: 414, Id: 408, Duration: 1, Teachers: Egypt Fletcher, Subject: L. Română, Activity tags: Lab, Students: SD-232
End - the order of activities (id-s)
